question,answer
los zapatos,shoes
majestuoso/a,majestic
70,setenta
Prefiero la camisa azul.,I prefer the blue shirt.
hola,hello
tomar café,to have coffee
espiritual,spiritual
el bombero,firefighter
la ropa interior,underwear
joven,young
pagar,to pay
Esta,this one (feminine)
joven,young
débil,weak
coméis (comer vosotros/as),You eat
Esos,those (masculine plural)
¿Te gusta...?,Do you like...?
cocinar,to cook
piensan (pensar ellos/ellas/Uds.),They think
tiene (tener él/ella/Ud.),He/She/You have
Tengo,I have
Hasta luego,See you later
pedemos (pedir nosotros/as),We ask
la reservación,reservation
yo,I
azul,blue
feo,ugly
la sudadera,sweatshirt
estar,to be (temporary condition)
los pantalones,pants
pelear,fight
primo,cousin
Esta,this (feminine singular)
agradables,pleasant
viven (vivir ellos/ellas/Uds.),They live
los pantalones cortos,shorts
el policía,police officer
el gorro,beanie
una,a (feminine)
nuevo,new
amarillo,yellow
Aquellas,those over there (feminine plural)
hermana(s),sister(s)
las rebajas,sales
la blusa,blouse
necesitar,to need
va (ir él/ella/Ud.),He/She/You go
el maestro,teacher
diecisiete,17
siete,7
Amigos/as,Friends (masc/fem)
Usted,You (formal)
las botas,boots
ocho,8
fascinar,to be fascinating to/to fascinate
el metro,subway
hablas (hablar tú),You speak
Preferir,to prefer
vivimos (vivir nosotros/as),We live
ir (de compras),to go (shopping)
hablamos (hablar nosotros/as),We speak
la madrastra,stepmother
vivís (vivir vosotros/as),You live
voy (ir yo),I go
¿Dónde vamos?,Where are we going?
vamos(ir nosotros/as),We go
come (comer él/ella/Ud.),He/She/You eat
Ingrediente,ingredient
hacer yoga,to do yoga
morado,purple
Las estudiantes son amables.,The students are nice (feminine).
el precio (fijo),(fixed) price
te,to you (informal)
Me encanta,I love (something)
haces (hacer tú),You do
Esas,those ones (feminine)
el traje de baño,swimsuit
dibujar,to draw
¿A qué te dedicas?,What do you do?
el hijo,son / child
la computadora,computer
Ellas,They (feminine)
hermoso/a,beautiful
Profesores/as,Teachers (masc/fem)
la joyería,jewelry store
la oferta,the offer
correr,to run
el enfermero,nurse
pido (pedir yo),I ask
el padrastro,stepfather
el lugar,place
Aquella,that one over there (feminine)
mejor,better
vuestro/a,your (informal plural in Spain)
el carro/el coche,car
serio,serious
pides (pedir tú),You ask
nuestro/a,our
el campamento,campground
Cocinar,to cook
gustar,to be pleasing to/to like
ser,to be (permanent characteristic)
duermen (dormir ellos/ellas/Uds.),They sleep
embarazada,pregnant (not embarrassed)
como (comer yo),I eat
el almacén,department store
el cinturón,belt
simpático(s), nice/pleasant
antipático,mean
¿Cuántos años tienes?,How old are you?
90,noventa
la zapatería,shoe store
verde,green
les,to them
la madre/mamá,mother/mom
ella,she
nuestro/a / nuestros/as,our
Aquellos,those over there (masculine plural)
Encantado/a de conocerte,Nice to meet you
su/sus,his/her/their/your (formal)
El abrigo es caro pero es precioso.,The coat is expensive but it’s beautiful.
el billete,ticket
la tarea,homework
100,cien
Dormir,to sleep
caro,expensive
comes (comer tú),You eat
pide (pedir él/ella/Ud.),He/She/You ask
cero,0
tu/tus,your (informal)
vives (vivir tú),You live
De acuerdo,Agreed
60,sesenta
gris,gray
seguro/a,safe
auténtico/a,authentic
Ese,that (masculine singular)
80,ochenta
Nos llevamos,we get along
interesante,interesting
Aquél,that over there (masculine singular)
estudiar,to study
cerca/cercano,close
Este,this (masculine singular)
emocionante,exciting
cercano/a,nearby
tenemos (tener nosotros/as),We have
antiguo/a,old/antique
comen (comer ellos/ellas/Uds.),They eat
nueve,9
el aeropuerto,airport
Tienes,You have
verdad,true
dos,2
la camiseta,t-shirt
Estar,to be (location)
la tienda de deportes,sports store
leer libros,to read books
el automóvil,car
viejito/a,pretty old
un,a (masculine)
vivo (vivir yo),I live
Estoy bien,I’m good
Estas,these (feminine plural)
40,cuarenta
nos conocemos,we know each other
se,"Reflexive pronoun for ""ellos/ellas/ustedes"" (llamarse)"
turístico/a,tourist-related/touristy
Me llamo...,My name is...
el tío,uncle
rojo,red
vender,to sell
Venga/Listo,Ok/all right
el restaurante,restaurant
el crucero,cruise ship
tienes (tener tú),You have
Tengo ___ años,I am ___ years old
consumir,to consume
No sé,I don't know
el tour,tour
¿Qué tal?,How are you?
el regateo,bargaining/haggling
Muy bien,Very good
histórico/a,historic
el collar,necklace
Los estudiantes son amables.,The students are nice (masculine/mixed).
Hay,there is/there are (existence)
leer,to read
habláis (hablar vosotros/as),You speak
hacen (hacer ellos/ellas/Uds.),They do
negro,black
Estos,these (masculine plural)
hacer ejercicio,to exercise
piden (pedir ellos/ellas/Uds.),They ask
hermano(s),brother (brothers and sisters)
Me gusta ___,I like ___.
Igualmente,Likewise
Querer,to want/to love
es,He/She/You (formal) is
trece,13
el artista,artist
Tampoco,either
Ella,She
paciente,patient
eres,You are (informal)
Sabor,flavor
se,"Reflexive pronoun for ""él/ella/usted"" (llamarse)"
juega (jugar él/ella/Ud.),He/She/You play
el efectivo,cash
jugar (ellos/ellas/Uds.),They play
Soy...,I am...
ver películas/televisión,to watch movies/TV
once,11
Aquellos,those ones over there (masculine)
el abrigo,coat
jugar videojuegos/juegos de mesa,to play video games/board games
la agencia de viajes,travel agency
somos,We are
unos,some (masculine)
aburrir,to be boring to/to bore
deportivo,sporty
la tienda de regalos,gift shop
lejos de,far from
la ganga,bargain
Plato,dish
Él,He
Ustedes,You all (formal)
Nos vemos,See you
pienso (pensar yo),I think
interesar,to be interesting to/to interest
divorciado/a,divorced
Ernesto y Randolph son chilenos.,Ernesto and Randolph are Chilean.
llevar/usar,to wear (clothes)
duermo (dormir yo),I sleep
hace (hacer él/ella/Ud.),He/She/You do
el mercado,market
¿Cómo está?,How are you?
la chaqueta,jacket
piensas (pensar tú),You think
También,also/too
el contador,accountant
Nosotros/Nosotras,We
escuchar,to listen
seis,6
piensa (pensar él/ella/Ud.),He/She/You think
tengo (tener yo),I have
Vamos a...,Let's go to...
¿Qué?,What?
trabajador,hardworking
Estos,these ones (masculine)
cinco,5
buscar,to look for
me,"Reflexive pronoun for ""yo"" (llamarse)"
regatear,to bargain or haggle
Me gusta mucho...,I like ... a lot
tranquilo/a,calm
clásico,classic
escribir,to write
Mucho gusto,Nice to meet you
la oficina de turismo,tourist office
Vosotros/Vosotras,You all (informal Spain)
peligroso/a,dangerous
llamarse,to be called/to be named
os,to you all (informal)
habla (hablar él/ella/Ud.),He/She/You speak
¡Qué suerte!,How lucky!
la panadería,bakery
padres,parents
uno,1
alegre,happy
sabroso/a,tasty
la prenda de ropa,piece of clothing
el centro comercial,mall/shopping center
la hermana,sister
rosado,pink
anaranjado,orange
las chanclas,flip-flops
dueremos (dormir nosotros/as),We sleep
¿Qué más?,What else?
unas,some (feminine)
a pie,on foot
Este,this one (masculine)
Tú,You (informal)
Yo,I
diez,10
te,"Reflexive pronoun for ""tú"" (llamarse)"
Hola,Hello
su,his/her/their/your (formal)
ellas,they (feminine)
las zapatillas,sneakers
hacemos (hacer nosotros/as),We do
la pizzería,pizzeria
¿Qué plato te gusta?,What dish do you like?
comemos (comer nosotros/as),We eat
creativo,creative
El profesor es simpático.,The male teacher is nice.
nos,"Reflexive pronoun for ""nosotros/nosotras"" (llamarse)"
usted,you (formal)
cuatro,4
¿Quién/es?,Who?
El gusto es mío,The pleasure is mine
hablan (hablar ellos/ellas/Uds.),They speak
el suéter,sweater
mi/mis,my
Ellos,They (masculine or mixed group)
Esa,that (feminine singular)
la tienda de ropa,clothing store
ellos,they (masculine)
Test,Test
formal,formal
Esas,those (feminine plural)
ofrecer (ofrezco),to offer
¿Cómo?,How?
el chaleco,vest
la corbata,tie
vosotros/as,your (informal plural Spain)
el vestido,dress
cerca de,near to
el esposo,husband
Comida,food
el traje,suit
¿Qué te gusta hacer?,What do you like to do?
la farmacia,pharmacy
tú,you (informal)
el avión,airplane
Estoy regular,I’m okay
el profesor/la profesora,teacher
familia,family
la nuera,daughter-in-law
hacer jardinería,to do gardening
la clase,class
